x,y
2534291.476,1173594.460
2534289.809,1173624.067
2534287.110,1173654.547
2534285.126,1173673.518
2534283.950,1173684.910
2534281.316,1173708.204
2534278.141,1173731.700
2534274.966,1173753.289
2534271.553,1173774.403
2534268.060,1173794.088
2534263.615,1173817.504
2534257.797,1173845.076
2534252.820,1173867.590
2534245.914,1173896.958
2534239.802,1173919.739
2534233.294,1173943.472
2534226.547,1173966.967
2534221.388,1173983.716
2534215.196,1174003.321
2534210.178,1174018.344
2534201.464,1174043.167
2534193.686,1174064.758
2534186.375,1174084.152
2534177.414,1174106.509
2534166.619,1174132.465
2534156.221,1174156.595
2534143.997,1174183.424
2534131.376,1174209.697
2534120.422,1174231.604
2534107.563,1174256.448
2534096.451,1174277.007
2534085.735,1174296.374
2534075.887,1174313.351
2534065.574,1174330.664
2534055.414,1174347.492
2534044.857,1174364.478
2534029.141,1174388.608
2534014.756,1174409.974
2534001.836,1174428.455
2533987.727,1174448.034
2533968.732,1174473.633
2533941.749,1174508.941
2533915.967,1174542.717
2533884.400,1174584.190
2533862.720,1174612.417
2533842.371,1174639.354
2533816.053,1174673.741
2533795.540,1174700.553
2533778.951,1174722.539
2533763.948,1174742.859
2533743.073,1174772.308
2533725.134,1174799.375
2533710.846,1174822.473
2533696.559,1174847.079
2533685.208,1174867.955
2533671.556,1174894.625
2533661.475,1174915.739
2533652.506,1174935.503
2533640.064,1174965.377
2533631.333,1174988.396
2533620.597,1175019.164
2533612.104,1175046.152
2533606.230,1175067.028
2533600.753,1175088.697
2533594.959,1175114.256
2533589.641,1175141.482
2533586.227,1175161.961
2533583.688,1175178.708
2533581.465,1175195.933
2533579.194,1175217.768
2533577.020,1175244.193
2533575.829,1175270.704
2533575.274,1175288.246
2533575.353,1175310.789
2533576.306,1175343.650
2533577.976,1175371.440
2533580.321,1175397.018
2533583.846,1175425.089
2533587.210,1175446.396
2533590.276,1175464.539
2533593.451,1175481.207
2533596.070,1175493.510
2533598.070,1175502.960
2533605.652,1175532.809
2533612.134,1175555.827
2533619.939,1175581.730
2533628.802,1175607.791
2533635.678,1175626.702
2533640.441,1175639.243
2533658.697,1175682.979
2533671.477,1175710.760
2533685.367,1175739.256
2533699.972,1175767.196
2533715.450,1175794.977
2533730.849,1175821.330
2533751.645,1175854.985
2533770.537,1175884.036
2533781.967,1175901.102
2533804.430,1175933.011
2533821.495,1175956.506
2533834.116,1175973.413
2533851.341,1175995.797
2533872.931,1176023.260
2533889.758,1176044.136
2533912.301,1176071.441
2533931.271,1176093.825
2533951.909,1176117.796
2533984.612,1176155.182
2534017.393,1176192.091
2534051.763,1176230.191
2534094.916,1176276.883
2534123.677,1176307.423
2534143.310,1176328.220
2534156.874,1176342.449
2534189.717,1176376.083
2534229.484,1176416.406
2534252.820,1176439.742
2534274.410,1176461.094
2534281.430,1176468.043
2534319.098,1176504.750
2534353.627,1176537.611
2534377.367,1176560.151
2534411.332,1176591.825
2534448.797,1176626.194
2534477.928,1176652.308
2534514.996,1176685.090
2534554.763,1176719.857
2534585.640,1176746.527
2534621.121,1176776.451
2534658.110,1176807.487
2534720.737,1176858.446
2534758.360,1176888.529
2534797.370,1176919.180
2534830.946,1176945.057
2534862.141,1176968.790
2534891.350,1176990.760
2534930.959,1177020.145
2534977.518,1177054.034
2535014.461,1177080.312
2535058.911,1177111.506
2535088.510,1177131.953
2535134.018,1177162.776
2535188.655,1177199.157
2535228.846,1177225.291
2535265.049,1177248.508
2535298.466,1177269.542
2535336.963,1177293.513
2535376.338,1177317.424
2535406.734,1177335.741
2535441.976,1177356.537
2535482.854,1177380.429
2535516.668,1177399.876
2535547.862,1177417.418
2535594.185,1177443.105
2535631.888,1177463.584
2535658.082,1177477.633
2535701.262,1177500.493
2535738.900,1177519.980
2535752.538,1177527.005
2535774.630,1177538.222
2535815.880,1177558.834
2535864.695,1177582.726
2535907.399,1177603.205
2535951.691,1177624.001
2535995.903,1177644.401
2536036.463,1177662.736
2536082.501,1177682.977
2536111.235,1177695.439
2536166.162,1177718.775
2536219.740,1177740.921
2536246.887,1177751.875
2536274.033,1177762.669
2536311.101,1177777.195
2536352.297,1177793.070
2536390.953,1177807.596
2536436.435,1177824.265
2536484.060,1177841.251
2536522.954,1177854.824
2536560.895,1177867.841
2536602.408,1177881.732
2536637.889,1177893.321
2536662.580,1177901.150
2536675.433,1177905.227
2536697.976,1177912.371
2536724.884,1177920.706
2536763.937,1177932.612
2536795.636,1177942.097
2536843.153,1177955.948
2536879.189,1177966.267
2536916.496,1177976.824
2536950.036,1177986.533
2536990.505,1177997.730
2537018.138,1178005.427
2537044.687,1178012.701
2537078.183,1178022.068
2537111.124,1178031.275
2537137.714,1178038.657
2537167.242,1178047.150
2537198.722,1178056.075
2537235.451,1178066.746
2537267.504,1178076.106
2537299.163,1178085.488
2537333.533,1178095.966
2537380.761,1178110.650
2537404.018,1178118.032
2537440.610,1178129.938
2537474.265,1178141.209
2537510.778,1178153.751
2537544.036,1178165.657
2537582.612,1178179.786
2537618.500,1178193.270
2537635.873,1178199.947
2537654.446,1178207.170
2537678.339,1178216.695
2537701.596,1178226.062
2537732.631,1178238.920
2537765.254,1178252.732
2537802.958,1178269.083
2537842.407,1178286.784
2537877.649,1178302.976
2537909.082,1178317.740
2537945.436,1178335.361
2537980.440,1178352.586
2538003.697,1178364.412
2538039.734,1178382.907
2538116.569,1178424.103
2538161.495,1178449.185
2538191.499,1178466.251
2538226.742,1178486.968
2538260.553,1178507.148
2538287.674,1178523.817
2538321.833,1178544.991
2538349.852,1178562.930
2538381.920,1178583.805
2538419.464,1178608.570
2538440.181,1178622.620
2538466.455,1178640.718
2538497.870,1178662.640
2538524.398,1178681.516
2538544.560,1178696.042
2538564.483,1178710.647
2538592.899,1178731.840
2538616.553,1178749.779
2538641.873,1178769.226
2538669.813,1178791.133
2538697.912,1178813.596
2538733.393,1178842.568
2538769.667,1178872.810
2538801.656,1178900.115
2538842.955,1178935.959
2538860.973,1178952.152
2538886.638,1178975.435
2538910.876,1178997.667
2538936.435,1179021.718
2538959.136,1179043.388
2538981.679,1179065.136
2539002.792,1179085.615
2539043.670,1179125.779
2539070.182,1179151.735
2539090.740,1179170.864
2539106.536,1179184.834
2539123.546,1179198.796
2539141.858,1179212.695
2539158.447,1179224.363
2539180.116,1179238.193
2539201.177,1179250.061
2539220.199,1179259.756
2539235.148,1179266.635
2539257.613,1179276.017
2539276.930,1179282.850
2539301.031,1179290.463
2539322.701,1179296.099
2539341.036,1179300.068
2539362.229,1179303.639
2539378.898,1179305.941
2539398.345,1179308.084
2539419.459,1179309.434
2539438.747,1179309.672
2539458.049,1179309.200
2539481.265,1179307.826
2539505.422,1179305.068
2539531.219,1179300.941
2539544.237,1179298.162
2539555.508,1179295.622
2539567.970,1179292.448
2539580.591,1179288.955
2539593.767,1179284.828
2539605.241,1179280.977
2539621.649,1179274.742
2539642.978,1179264.990
2539672.351,1179250.183
2539715.586,1179225.593
2539755.471,1179197.760
2539821.536,1179147.340
2539897.844,1179089.269
2539949.686,1179049.091
2540009.272,1179004.230
2540055.373,1178970.826
2540114.524,1178930.013
2540160.222,1178901.306
2540192.729,1178880.646
2540238.628,1178852.433
2540303.406,1178816.351
2540357.687,1178789.352
2540438.732,1178750.964
2540498.818,1178726.182
2540570.248,1178700.161
2540633.068,1178679.134
2540692.987,1178661.484
2540751.115,1178646.448
2540807.011,1178633.829
2540882.342,1178619.680
2540944.074,1178610.716
2541012.835,1178602.038
2541085.547,1178595.872
2541113.427,1178594.225
2541154.046,1178592.364
2541240.834,1178590.969
2541306.777,1178591.622
2541388.346,1178599.131
2541473.804,1178609.801
2541532.045,1178619.012
2541592.481,1178630.836
2541662.130,1178647.412
2541710.739,1178660.353
2541762.321,1178674.447
2541803.817,1178687.831
2541861.810,1178708.557
2541915.221,1178729.231
2541979.000,1178755.677
2542039.787,1178783.084
2542078.880,1178802.664
2542105.078,1178815.684
2542147.067,1178838.853
2542188.059,1178862.251
